배우 이름,정보 1,정보 2,정보 3,정보 4,정보 5,정보 6,정보 7,정보 8,정보 9,정보 10,정보 11,정보 12
최민식(9편),다른 이름崔岷植,직업배우,생년월일1962-04-27,성별남,홈페이지 https://www.facebook.com/cjesminsik,"신장/체중177cm, 70kg",학교동국대학교 연극영화,"취미공연 관람, 수집, 그림그리기, 골프",,,,
황정민(8편),원어명黃晸玟,직업배우,생년월일1970-09-01,성별남,"신장/체중180cm, 75kg",학교서울예술대학 연극과 졸업,"특기농구, 악기연주",,,,,
이범수(8편),원어명李凡秀,다른 이름Lee Beom-Su,직업배우,생년월일1970-01-03,성별남,"홈페이지 http://twitter.com/leebeomsoo
https://www.instagram.com/bumsoo_official/","신장/체중171cm, 60kg",학교고려대학교 언론대학원 방송영상학,"취미수영, 헬스, 노래부르기",소속사드림이앤엠,,
김고은(4편),직업배우,생년월일1991-07-02,성별여,홈페이지 instagram.com/ggone/,,,,,,,,
김민재(8편),직업배우,생년월일1979-03-20,성별남,홈페이지 https://www.facebook.com/cjesminjae,학교한국예술종합학교 연극원,,,,,,,
이준혁(4편),직업배우,생년월일1984-03-13,성별남,홈페이지 https://www.instagram.com/leejunhyuk05/,신장/체중181cm,,,,,,,
유해진(11편),직업배우,생년월일1970-01-04,성별남,신장/체중174cm,학교서울예술대학 연극과,소속사키이스트,,,,,,
김무열(6편),직업배우,생년월일1982-05-22,성별남,홈페이지 https://www.instagram.com/m00ut/,,,,,,,,
이성민(8편),직업배우,생년월일1968-10-15,성별남,신장/체중178cm,,,,,,,,
정우성(8편),직업배우,생년월일1973-03-20,성별남,홈페이지 http://www.artistcompany.co.kr/portfolio-item/jung-woo-sung/,소속사아티스트컴퍼니,,,,,,,
박지환(9편),직업배우,생년월일1980-09-05,성별남,,,,,,,,,
이동휘(10편),직업배우,생년월일1985-07-22,성별남,홈페이지 https://www.instagram.com/dlehdgnl/,학교서울예술대학교 연극과,소속사컴퍼니온,,,,,,
정해인(4편),직업배우,생년월일1988-04-01,성별남,홈페이지 instagram.com/holyhaein/,,,,,,,,
박해준(3편),직업배우,생년월일1976-06-14,성별남,,,,,,,,,
박정민(10편),직업배우,생년월일1987-03-24,성별남,"신장/체중178cm, 63kg",학교한국예술종합학교 영상원 연극원 연기과,,,,,,,
정만식(13편),직업배우,생년월일1974-12-11,성별남,,,,,,,,,
전석호(5편),다른 이름JEON Seok-ho,직업배우,생년월일1984-05-02,성별남,,,,,,,,
김성균(5편),직업배우,생년월일1980-05-25,성별남,,,,,,,,,
강하늘(2편),다른 이름김하늘,직업배우,생년월일1990-02-21,성별남,홈페이지 https://www.instagram.com/kanghaneul_official/,신장/체중181cm,학교중앙대학교 연극학과,,,,,
김혜수(3편),직업배우,생년월일1970-09-05,성별여,"신장/체중171cm, 49kg",학교동국대 연극영화 - 성균관대언론정보대학원 석사,"취미영화 감상, 사진집 모으기, 태권도, 수영, 테니스, 볼링",특기태권도,,,,,
하정우(11편),다른 이름김성훈; 河正宇,직업배우,생년월일1978-03-11,성별남,홈페이지 https://www.instagram.com/__hajungwoo/,신장/체중184cm,학교중앙대학교 연극학과,,,,,
염정아(8편),다른 이름廉晶雅,직업배우,생년월일1972-07-28,성별여,홈페이지 http://www.artistcompany.co.kr/portfolio-item/yum-jung-ah/,소속사아티스트컴퍼니,,,,,,
조정석(4편),직업배우,생년월일1980-12-26,성별남,홈페이지 https://twitter.com/jojeol,,,,,,,,
박서준(6편),직업배우,생년월일1988-12-16,성별남,"홈페이지 https://www.instagram.com/bn_sj2013/
https://twitter.com/bn_sj2013",,,,,,,,
오대환(6편),다른 이름O Dae-hwan,직업배우,생년월일1979-07-05,성별남,홈페이지 https://www.instagram.com/daewhanoh/,신장/체중180cm,,,,,,
이도현(1편),직업배우,생년월일1995-04-11,성별남,홈페이지 instagram.com/ldh_sky,,,,,,,,
전여빈(4편),직업배우,생년월일1989-00-00,성별여,,,,,,,,,
장윤주(5편),직업배우,생년월일1980-11-07,성별여,홈페이지 https://www.instagram.com/yoonjujang/,소속사에스팀,,,,,,,
오달수(11편),직업배우,생년월일1968-06-15,성별남,"신장/체중176cm, 68kg",학교동의대학교 공업디자인 (중퇴),소속사빌리지엔터테인먼트,,,,,,
유재명(7편),직업배우,생년월일1973-06-03,성별남,,,,,,,,,
이병헌(8편),원어명李秉憲,직업배우,생년월일1970-07-12,성별남,홈페이지 http://www.leebyunghun.kr/,신장/체중177cm,학교한양대학교 불어문학과,"취미모자수집, 여행","특기태권도, 스노우보드, 수영, 팔씨름",,,
고규필(8편),다른 이름KO Kyu-pil; GO Gyu-pil,직업배우,생년월일1982-05-02,성별남,,,,,,,,
현빈(4편),원어명玄彬,다른 이름김태평,직업배우,생년월일1982-09-25,성별남,홈페이지 http://www.vastenm.com/,"신장/체중184cm, 74kg","학교중앙대학교 연극영화 졸업, 중앙대학교 예술 대학원 공연영상학과 재학 중","취미수영, 농구, 야구","특기스노우보드, 사진",소속사VAST엔터테인먼트,
이주명(1편),원어명李宙明,직업배우,생년월일1993-12-01,성별여,홈페이지 instagram.com/jmyoungl/,,,,,,,
한선화(4편),다른 이름시크릿,직업배우,생년월일1990-10-06,성별여,홈페이지 instagram.com/shh_daily/,,,,,,,
이지훈(2편),직업배우,생년월일1979-03-27,성별남,"홈페이지 https://twitter.com/leejeehoon79
https://instagram.com/leejeehoon79",신장/체중182cm,학교동국대학교 연극영화학과,,,,,,
조인성(4편),다른 이름趙寅成,직업배우,생년월일1981-07-28,성별남,"신장/체중186cm, 72kg",학교전남과학대 모델이벤트과 - 동국대 연극영화 (중퇴),"취미모자모으기, 영화보기, 농구","특기농구, 태권도(공인 4단)",소속사싸이더스 HQ,,,
조우진(8편),다른 이름조신제,직업배우,생년월일1979-01-16,성별남,,,,,,,,
허준호(8편),원어명許俊豪,직업배우,생년월일1964-03-03,성별남,신장/체중180cm,학교서울예술대학 연극과,소속사지티비엔터테인먼트,,,,,
김종수(19편),직업배우,생년월일1964-11-30,성별남,홈페이지 www.artistcompany.co.kr/portfolio-item/kim-jong-soo/,소속사아티스트컴퍼니,,,,,,,
곽도원(4편),다른 이름곽병규,직업배우,생년월일1974-05-17,성별남,,,,,,,,
