배우 이름,흥행지수
최민식(9편),"34,949"
황정민(8편),"31,326"
이범수(8편),"28,122"
김고은(4편),"27,733"
김민재(8편),"26,224"
이준혁(4편),"23,209"
유해진(11편),"20,962"
김무열(6편),"19,917"
이성민(8편),"19,223"
정우성(8편),"18,811"
박지환(9편),"18,043"
이동휘(10편),"16,163"
정해인(4편),"14,481"
박해준(3편),"13,184"
박정민(10편),"12,740"
정만식(13편),"12,434"
전석호(5편),"11,331"
김성균(5편),"11,094"
강하늘(2편),"11,009"
김혜수(3편),"10,699"
하정우(11편),"10,275"
염정아(8편),"10,074"
조정석(4편),"9,966"
박서준(6편),"9,698"
오대환(6편),"8,754"
이도현(1편),"8,732"
전여빈(4편),"8,680"
장윤주(5편),"8,589"
오달수(11편),"8,562"
유재명(7편),"8,323"
이병헌(8편),"8,319"
고규필(8편),"8,307"
현빈(4편),"8,049"
이주명(1편),"7,784"
한선화(4편),"7,223"
이지훈(2편),"7,178"
조인성(4편),"7,140"
조우진(8편),"6,984"
허준호(8편),"6,802"
김종수(19편),"6,434"
곽도원(4편),"6,361"
주원(1편),"5,565"
박보영(1편),"5,545"
정소민(1편),"5,504"
김윤석(6편),"5,373"
김선영(9편),"5,360"
김시후(2편),"5,115"
박훈(4편),"5,102"
이무생(4편),"4,915"
이주빈(1편),"4,737"
신승호(1편),"4,670"
권상우(2편),"4,636"
백윤식(2편),"4,580"
송혜교(1편),"4,423"
정재영(4편),"4,267"
강동원(6편),"4,258"
이솜(5편),"4,188"
임영웅(2편),"4,177"
이선균(6편),"4,119"
이규형(2편),"4,111"
정준호(5편),"4,044"
이유영(5편),"4,019"
이제훈(5편),"3,930"
엄상현(29편),"3,854"
조진웅(8편),"3,822"
정유미(6편),"3,800"
안보현(2편),"3,712"
설경구(11편),"3,679"
이이경(4편),"3,674"
구교환(4편),"3,479"
홍사빈(4편),"3,385"
주지훈(3편),"3,368"
염혜란(11편),"3,336"
김성규(3편),"3,332"
박영남(3편),"3,250"
신혜선(3편),"3,221"
신승환(5편),"3,182"
진선규(10편),"3,127"
서재희(1편),"3,113"
손석구(4편),"3,009"
도경수(5편),"2,974"
이동욱(3편),"2,899"
라미란(7편),"2,823"
박지후(3편),"2,774"
공명(5편),"2,750"
황우슬혜(3편),"2,653"
배성우(8편),"2,593"
정준원(3편),"2,581"
서현우(11편),"2,447"
김희선(1편),"2,441"
이진욱(3편),"2,378"
송승헌(1편),"2,363"
김희애(5편),"2,290"
변요한(5편),"2,236"
홍경(3편),"2,165"
최덕문(7편),"2,101"
박병은(5편),"2,073"
박명훈(9편),"2,072"
여진구(3편),"2,069"
박지현(3편),"2,068"
성동일(6편),"2,054"
아이유(4편),"2,021"
강희선(2편),"2,016"
김금순(7편),"2,006"
김선호(1편),"1,993"
김성오(2편),"1,987"
이희준(9편),"1,980"
김성철(3편),"1,963"
차인표(1편),"1,953"
조여정(3편),"1,951"
이하늬(7편),"1,885"
류준열(8편),"1,823"
고민시(1편),"1,783"
진경(4편),"1,748"
이성욱(3편),"1,721"
김나율(1편),"1,677"
김태리(5편),"1,662"
오민애(6편),"1,646"
이엘(1편),"1,619"
채수빈(1편),"1,607"
원진아(1편),"1,597"
박보검(2편),"1,593"
김남우(1편),"1,589"
최낙윤(5편),"1,581"
성선녀(1편),"1,548"
김국희(6편),"1,526"
강태주(1편),"1,495"
조경이(5편),"1,495"
김도윤(2편),"1,491"
김우빈(2편),"1,484"
이지현(4편),"1,446"
김기현(1편),"1,419"
공승연(2편),"1,379"
문유강(1편),"1,377"
홍소영(5편),"1,371"
박시윤(16편),"1,359"
문우진(2편),"1,358"
임시완(3편),"1,347"
임채헌(2편),"1,345"
이지원(2편),"1,325"
