배우 이름,생년월일,성별,학교
배우 이름,,,
최민식,1962-04-27,남,동국대
황정민,1970-09-01,남,서울예술대학
이범수,1970-01-03,남,고려대
김고은,1991-07-02,여,
김민재,1979-03-20,남,한국예술종합
이준혁,1984-03-13,남,
유해진,1970-01-04,남,서울예술대학
김무열,1982-05-22,남,
이성민,1968-10-15,남,
정우성,1973-03-20,남,
박지환,1980-09-05,남,
이동휘,1985-07-22,남,서울예술대
정해인,1988-04-01,남,
박해준,1976-06-14,남,
박정민,1987-03-24,남,한국예술종합
정만식,1974-12-11,남,
전석호,1984-05-02,남,
김성균,1980-05-25,남,
강하늘,1990-02-21,남,중앙대
김혜수,1970-09-05,여,동국대
하정우,1978-03-11,남,중앙대
염정아,1972-07-28,여,
조정석,1980-12-26,남,
박서준,1988-12-16,남,
오대환,1979-07-05,남,
이도현,1995-04-11,남,
전여빈,1989-00-00,여,
장윤주,1980-11-07,여,
오달수,1968-06-15,남,동의대
유재명,1973-06-03,남,
이병헌,1970-07-12,남,한양대
고규필,1982-05-02,남,
현빈,1982-09-25,남,중앙대
이주명,1993-12-01,여,
한선화,1990-10-06,여,
이지훈,1979-03-27,남,동국대
조인성,1981-07-28,남,전남과학대
조우진,1979-01-16,남,
허준호,1964-03-03,남,서울예술대학
김종수,1964-11-30,남,
곽도원,1974-05-17,남,
주원,1987-09-30,남,성균관대
박보영,1990-02-12,여,단국대
정소민,1989-03-16,여,한국예술종합
김윤석,1968-01-21,남,동의대
김선영,1976-04-10,여,
김시후,1988-01-02,남,대진대
박훈,1981-04-27,남,
이무생,1980-05-10,남,세종대
이주빈,1989-09-18,여,
신승호,1995-11-11,남,
권상우,1976-08-08,남,한남대
백윤식,1947-03-16,남,중앙대대학원
송혜교,1982-02-26,여,세종대
정재영,1970-11-21,남,서울예술대학
강동원,1981-01-18,남,
이솜,1990-01-30,여,
임영웅,1991-06-16,남,
이선균,1975-03-02,남,한국예술종합
이규형,1983-11-29,남,동국대
정준호,1970-10-01,남,경희대언론정보대학원
이유영,1989-12-08,여,
이제훈,1984-07-04,남,한국예술종합
엄상현,1971-12-29,남,
조진웅,1976-03-03,남,경성대
정준호,,,
안보현,1988-05-16,남,
설경구,1968-05-01,남,한양대
이이경,1989-01-08,남,
구교환,1982-12-14,남,
홍사빈,1997-04-18,남,
주지훈,1982-05-16,남,경기대
염혜란,1976,여,
김성규,,남,
박영남,1946-10-08,여,
신혜선,1989-08-31,여,
신승환,1978-12-12,남,
진선규,1977-09-13,남,
서재희,1976-05-15,여,
손석구,1983-02-07,남,
도경수,1993-01-12,남,
이동욱,1981-11-06,남,중부대
라미란,1975-03-06,여,
박지후,2003-11-07,여,
공명,1994-05-26,남,
황우슬혜,1979-08-10,여,
배성우,,남,
정준원,1988-01-13,남,
서현우,1983-11-20,남,
김희선,1977-06-11,여,중앙대
이진욱,1981-09-16,남,청주대
송승헌,1976-10-05,남,경기대
김희애,1967-04-23,여,중앙대신문방송대학원
변요한,1986-04-29,남,
홍경,1996-02-14,남,
최덕문,1970-00-00,남,
박병은,1977-07-14,남,
박명훈,1975-05-28,남,
여진구,1997-08-13,남,"신림중,남강고등"
박지현,1994-11-26,여,
성동일,1967-04-27,남,유한대학
아이유,1993-05-16,여,동덕여자고등
강희선,1960-12-12,여,
김금순,1973-08-21,여,
김선호,1986-05-08,남,
김성오,1978-09-15,남,
이희준,1979-06-29,남,
김성철,1991-12-31,남,
차인표,1967-10-14,남,뉴저지주립대
조여정,1981-02-10,여,동국대
이하늬,1983-03-02,여,
류준열,1986-09-25,남,
고민시,1995-02-15,여,
진경,1972-03-27,여,
이성욱,1979-10-03,남,
김나율,1983-12-16,여,
김태리,1990-04-24,여,
오민애,1965-12-17,여,
이엘,1982-06-26,여,
채수빈,1994-07-10,여,
원진아,1991-03-29,여,
박보검,1993-06-16,남,
김남우,1987-04-30,남,
최낙윤,1984-01-27,남,
성선녀,,여,
김국희,1985-12-01,여,
강태주,1995-05-19,남,
조경이,,여,
김도윤,1981-08-07,남,
김우빈,1989-07-16,남,대경대
이지현,1982-01-07,여,
김기현,1945-05-15,남,
공승연,1993-02-27,여,성신여자대
문유강,1996-00-00,남,
홍소영,1971-07-31,여,
박시윤,,여,
문우진,2009-02-19,남,
임시완,1988-12-01,남,
임채헌,1973-10-16,남,
이지원,2006-08-30,여,
장동건,1972-03-07,남,한국예술종합
심달기,1999-06-12,여,
안재홍,1986-03-31,남,
김동휘,1995-12-26,남,
윤아영,1986-04-08,여,
노윤서,2000-01-25,여,
노상현,1990-07-19,남,
